Criterion,Max depth,# of estimations,Test Accuracy,Train Accuracy
gini,5,10,74.77000000000001,85.39
gini,5,100,84.48,92.23
gini,10,10,79.28,98.26
gini,10,100,87.49,99.94
gini,15,10,78.33,99.53999999999999
gini,15,100,87.74,100.0
gini,20,10,78.53,99.64
gini,20,100,87.99,100.0
entropy,5,10,72.32,82.91
entropy,5,100,83.48,91.03999999999999
entropy,10,10,79.67999999999999,98.79
entropy,10,100,87.69,100.0
entropy,15,10,81.47999999999999,99.67
entropy,15,100,88.14,100.0
entropy,20,10,81.93,99.51
entropy,20,100,88.74,100.0
